playerID,nameFirst,nameLast,nameGiven,weight,height
aardsda01,David,Aardsma,David Allan,215,75
aaronha01,Hank,Aaron,Henry Louis,180,72
aaronto01,Tommie,Aaron,Tommie Lee,190,75
aasedo01,Don,Aase,Donald William,190,75
